generation,hunting_strategy,prey_type,hunting_avg
0,ambush,"Rabbit",0.1654
0,pursuit,"Rabbit",0.0474
1,ambush,"Rabbit",0.2685
1,pursuit,"Rabbit",0.2020
2,pursuit,"Rabbit",0.2897
2,ambush,"Rabbit",0.2535
3,pursuit,"Rabbit",0.3750
3,ambush,"Rabbit",0.3333
4,ambush,"Rabbit",0.3621
4,pursuit,"Rabbit",0.4219
5,ambush,"Rabbit",0.4079
5,pursuit,"Rabbit",0.5968
6,pursuit,"Rabbit",0.5679
6,ambush,"Rabbit",0.3971
7,pursuit,"Rabbit",0.5111
7,ambush,"Rabbit",0.2600
8,pursuit,"Rabbit",0.6593
8,ambush,"Rabbit",0.4516
9,pursuit,"Rabbit",0.6328
9,ambush,"Rabbit",0.5000
10,pursuit,"Rabbit",0.6059
10,ambush,"Rabbit",0.5000
11,pursuit,"Rabbit",0.6341
11,ambush,"Rabbit",0.4688
12,ambush,"Rabbit",0.4545
12,pursuit,"Rabbit",0.5902
13,ambush,"Rabbit",0.7143
13,pursuit,"Rabbit",0.6587
14,pursuit,"Rabbit",0.6591
14,ambush,"Rabbit",0.6786
15,pursuit,"Rabbit",0.6582
15,ambush,"Rabbit",0.4839
16,pursuit,"Rabbit",0.6235
16,ambush,"Rabbit",0.5000
17,pursuit,"Rabbit",0.6100
17,ambush,"Rabbit",0.4783
18,pursuit,"Rabbit",0.5877
18,ambush,"Rabbit",0.1250
19,pursuit,"Rabbit",0.6279
19,ambush,"Rabbit",0.5000
20,pursuit,"Rabbit",0.5701
20,ambush,"Rabbit",0.5000
21,pursuit,"Rabbit",0.6250
21,ambush,"Rabbit",0.6667
22,pursuit,"Rabbit",0.6535
22,ambush,"Rabbit",0.5000
23,pursuit,"Rabbit",0.6167
24,pursuit,"Rabbit",0.6117
25,pursuit,"Rabbit",0.6855
26,pursuit,"Rabbit",0.6371
27,pursuit,"Rabbit",0.5985
28,pursuit,"Rabbit",0.6333
29,pursuit,"Rabbit",0.5816
30,pursuit,"Rabbit",0.6238
31,pursuit,"Rabbit",0.6996
32,pursuit,"Rabbit",0.5928
33,pursuit,"Rabbit",0.5928
34,pursuit,"Rabbit",0.6045
35,pursuit,"Rabbit",0.6722
36,pursuit,"Rabbit",0.6173
37,pursuit,"Rabbit",0.5584
38,pursuit,"Rabbit",0.5809
39,pursuit,"Rabbit",0.6343
40,pursuit,"Rabbit",0.5902
41,pursuit,"Rabbit",0.6694
42,pursuit,"Rabbit",0.5957
43,pursuit,"Rabbit",0.6500
44,pursuit,"Rabbit",0.5758
45,pursuit,"Rabbit",0.6400
46,pursuit,"Rabbit",0.6105
47,pursuit,"Rabbit",0.6900
48,pursuit,"Rabbit",0.5962
49,pursuit,"Rabbit",0.5490
50,pursuit,"Rabbit",0.6186
51,pursuit,"Rabbit",0.6471
52,pursuit,"Rabbit",0.6634
53,pursuit,"Rabbit",0.6337
54,pursuit,"Rabbit",0.6452
55,pursuit,"Rabbit",0.6875
56,pursuit,"Rabbit",0.6289
57,pursuit,"Rabbit",0.6500
58,pursuit,"Rabbit",0.6364
59,pursuit,"Rabbit",0.5638
60,pursuit,"Rabbit",0.5842
61,pursuit,"Rabbit",0.6535
62,pursuit,"Rabbit",0.6078
63,pursuit,"Rabbit",0.6465
64,pursuit,"Rabbit",0.6337
65,pursuit,"Rabbit",0.5960
66,pursuit,"Rabbit",0.5922
67,pursuit,"Rabbit",0.6211
68,pursuit,"Rabbit",0.5743
69,pursuit,"Rabbit",0.5773
70,pursuit,"Rabbit",0.6633
71,pursuit,"Rabbit",0.5521
72,pursuit,"Rabbit",0.6263
73,pursuit,"Rabbit",0.5729
74,pursuit,"Rabbit",0.6632
75,pursuit,"Rabbit",0.5851
76,pursuit,"Rabbit",0.6200
77,pursuit,"Rabbit",0.6238
78,pursuit,"Rabbit",0.6042
79,pursuit,"Rabbit",0.5673
80,pursuit,"Rabbit",0.6082
81,pursuit,"Rabbit",0.6842
82,pursuit,"Rabbit",0.6100
83,pursuit,"Rabbit",0.6061
84,pursuit,"Rabbit",0.5941
85,pursuit,"Rabbit",0.6250
86,pursuit,"Rabbit",0.5859
87,pursuit,"Rabbit",0.5957
88,pursuit,"Rabbit",0.5941
89,pursuit,"Rabbit",0.6058
90,pursuit,"Rabbit",0.6186
91,pursuit,"Rabbit",0.6634
92,pursuit,"Rabbit",0.5657
93,pursuit,"Rabbit",0.6000
94,pursuit,"Rabbit",0.5545
95,pursuit,"Rabbit",0.4950
96,pursuit,"Rabbit",0.5870
97,pursuit,"Rabbit",0.6300
98,pursuit,"Rabbit",0.5306
99,pursuit,"Rabbit",0.6200
100,pursuit,"Rabbit",0.6000
0,ambush,"Mouse",0.0902
0,pursuit,"Mouse",0.0458
1,ambush,"Mouse",0.1926
1,pursuit,"Mouse",0.2442
2,ambush,"Mouse",0.1815
2,pursuit,"Mouse",0.4717
3,pursuit,"Mouse",0.5347
3,ambush,"Mouse",0.2124
4,pursuit,"Mouse",0.6218
4,ambush,"Mouse",0.3148
5,ambush,"Mouse",0.3438
5,pursuit,"Mouse",0.6613
6,pursuit,"Mouse",0.6690
6,ambush,"Mouse",0.3043
7,pursuit,"Mouse",0.6851
7,ambush,"Mouse",0.3333
8,pursuit,"Mouse",0.6972
8,ambush,"Mouse",0.5000
9,pursuit,"Mouse",0.6207
9,ambush,"Mouse",0.2000
10,pursuit,"Mouse",0.6250
10,ambush,"Mouse",0.0000
11,pursuit,"Mouse",0.6761
12,pursuit,"Mouse",0.6773
13,pursuit,"Mouse",0.6886
14,pursuit,"Mouse",0.6885
15,pursuit,"Mouse",0.6290
16,pursuit,"Mouse",0.6016
17,pursuit,"Mouse",0.6462
