generation,hunting_strategy,prey_type,stat_avg,pred_num
0,ambush,"Rabbit",56.06408706,827
0,pursuit,"Rabbit",49.70042194,237
1,ambush,"Rabbit",60.66063348,442
1,pursuit,"Rabbit",48.57920792,101
2,ambush,"Rabbit",48.97802198,91
2,pursuit,"Rabbit",47.58333333,42
3,ambush,"Rabbit",50.23750000,60
3,pursuit,"Rabbit",48.65000000,30
4,ambush,"Rabbit",50.79761905,42
4,pursuit,"Rabbit",49.89814815,27
5,pursuit,"Rabbit",51.21621622,37
5,ambush,"Rabbit",50.91935484,31
6,ambush,"Rabbit",51.79629630,27
6,pursuit,"Rabbit",51.80434783,46
7,pursuit,"Rabbit",52.79891304,46
7,ambush,"Rabbit",51.48076923,13
8,pursuit,"Rabbit",52.90000000,60
8,ambush,"Rabbit",52.01785714,14
9,pursuit,"Rabbit",52.61728395,81
9,ambush,"Rabbit",51.34375000,16
10,ambush,"Rabbit",52.17187500,16
10,pursuit,"Rabbit",53.20145631,103
11,ambush,"Rabbit",53.00000000,15
11,pursuit,"Rabbit",53.33076923,130
12,ambush,"Rabbit",54.10000000,15
12,pursuit,"Rabbit",53.57961783,157
13,ambush,"Rabbit",54.20000000,20
13,pursuit,"Rabbit",53.98295455,220
14,pursuit,"Rabbit",53.14655172,232
14,ambush,"Rabbit",53.30263158,19
15,pursuit,"Rabbit",51.78862661,233
15,ambush,"Rabbit",53.08333333,15
16,pursuit,"Rabbit",50.57900943,212
16,ambush,"Rabbit",50.50000000,9
17,pursuit,"Rabbit",49.10336538,208
17,ambush,"Rabbit",52.09090909,11
18,pursuit,"Rabbit",48.40796020,201
18,ambush,"Rabbit",48.00000000,1
19,pursuit,"Rabbit",47.82870370,216
19,ambush,"Rabbit",48.00000000,1
20,pursuit,"Rabbit",46.25279330,179
20,ambush,"Rabbit",48.00000000,1
21,pursuit,"Rabbit",45.52692308,195
21,ambush,"Rabbit",48.00000000,2
22,pursuit,"Rabbit",43.48989899,198
22,ambush,"Rabbit",48.00000000,2
23,pursuit,"Rabbit",42.72027027,185
24,pursuit,"Rabbit",42.38623596,178
25,pursuit,"Rabbit",42.15850515,194
26,pursuit,"Rabbit",41.89090909,165
27,pursuit,"Rabbit",41.77329193,161
28,pursuit,"Rabbit",41.65625000,152
29,pursuit,"Rabbit",41.52697842,139
30,pursuit,"Rabbit",41.37977099,131
31,pursuit,"Rabbit",41.20352564,156
32,pursuit,"Rabbit",40.76739130,115
33,pursuit,"Rabbit",40.70652174,115
34,pursuit,"Rabbit",40.43691589,107
35,pursuit,"Rabbit",40.35123967,121
36,pursuit,"Rabbit",40.17500000,100
37,pursuit,"Rabbit",40.11046512,86
38,pursuit,"Rabbit",40.06645570,79
39,pursuit,"Rabbit",40.01176471,85
40,pursuit,"Rabbit",39.71527778,72
41,pursuit,"Rabbit",39.59567901,81
42,pursuit,"Rabbit",39.31696429,56
43,pursuit,"Rabbit",39.21153846,65
44,pursuit,"Rabbit",39.19298246,57
45,pursuit,"Rabbit",39.08593750,64
46,pursuit,"Rabbit",38.99137931,58
47,pursuit,"Rabbit",38.88405797,69
48,pursuit,"Rabbit",38.50806452,62
49,pursuit,"Rabbit",38.23214286,56
50,pursuit,"Rabbit",38.15000000,60
51,pursuit,"Rabbit",37.94696970,66
52,pursuit,"Rabbit",37.82462687,67
53,pursuit,"Rabbit",37.48046875,64
54,pursuit,"Rabbit",37.21250000,60
55,pursuit,"Rabbit",37.07575758,66
56,pursuit,"Rabbit",36.77459016,61
57,pursuit,"Rabbit",36.49615385,65
58,pursuit,"Rabbit",36.37698413,63
59,pursuit,"Rabbit",36.28301887,53
60,pursuit,"Rabbit",36.22457627,59
61,pursuit,"Rabbit",36.17803030,66
62,pursuit,"Rabbit",36.11290323,62
63,pursuit,"Rabbit",35.89062500,64
64,pursuit,"Rabbit",35.69921875,64
65,pursuit,"Rabbit",35.55932203,59
66,pursuit,"Rabbit",35.47131148,61
67,pursuit,"Rabbit",35.39406780,59
68,pursuit,"Rabbit",35.37500000,58
69,pursuit,"Rabbit",35.45982143,56
70,pursuit,"Rabbit",35.36153846,65
71,pursuit,"Rabbit",35.33962264,53
72,pursuit,"Rabbit",35.33870968,62
73,pursuit,"Rabbit",35.25909091,55
74,pursuit,"Rabbit",35.13888889,63
75,pursuit,"Rabbit",34.98636364,55
76,pursuit,"Rabbit",34.90322581,62
77,pursuit,"Rabbit",34.83730159,63
78,pursuit,"Rabbit",34.72844828,58
79,pursuit,"Rabbit",34.65254237,59
80,pursuit,"Rabbit",34.62711864,59
81,pursuit,"Rabbit",34.58846154,65
82,pursuit,"Rabbit",34.47540984,61
83,pursuit,"Rabbit",34.35000000,60
84,pursuit,"Rabbit",34.28333333,60
85,pursuit,"Rabbit",34.22692308,65
86,pursuit,"Rabbit",34.06465517,58
87,pursuit,"Rabbit",34.04464286,56
88,pursuit,"Rabbit",34.05416667,60
89,pursuit,"Rabbit",34.06746032,63
90,pursuit,"Rabbit",33.91666667,60
91,pursuit,"Rabbit",33.89179104,67
92,pursuit,"Rabbit",33.70535714,56
93,pursuit,"Rabbit",33.59166667,60
94,pursuit,"Rabbit",33.58928571,56
95,pursuit,"Rabbit",33.44000000,50
96,pursuit,"Rabbit",33.43518519,54
97,pursuit,"Rabbit",33.34126984,63
98,pursuit,"Rabbit",33.25961538,52
99,pursuit,"Rabbit",33.32258065,62
100,pursuit,"Rabbit",33.30833333,60
0,ambush,"Mouse",57.25831486,451
0,pursuit,"Mouse",50.48689956,229
1,ambush,"Mouse",61.25872093,172
1,pursuit,"Mouse",51.88679245,106
2,ambush,"Mouse",58.43137255,51
2,pursuit,"Mouse",53.01500000,100
3,pursuit,"Mouse",53.68981481,108
3,ambush,"Mouse",59.02083333,24
4,ambush,"Mouse",58.95588235,17
4,pursuit,"Mouse",53.98986486,148
5,pursuit,"Mouse",54.40243902,205
5,ambush,"Mouse",57.15909091,11
6,pursuit,"Mouse",54.84561404,285
6,ambush,"Mouse",50.60714286,7
7,pursuit,"Mouse",53.36912752,298
7,ambush,"Mouse",49.15000000,5
8,pursuit,"Mouse",51.69983553,304
8,ambush,"Mouse",40.25000000,2
9,pursuit,"Mouse",50.30925926,270
9,ambush,"Mouse",40.25000000,1
10,pursuit,"Mouse",49.07924528,265
11,pursuit,"Mouse",47.66258741,286
12,pursuit,"Mouse",46.13447653,277
13,pursuit,"Mouse",44.89797794,272
14,pursuit,"Mouse",44.16730038,263
15,pursuit,"Mouse",43.92414530,234
16,pursuit,"Mouse",43.50684932,219
17,pursuit,"Mouse",43.05387931,232
18,pursuit,"Mouse",42.52586207,232
19,pursuit,"Mouse",41.56100478,209
20,pursuit,"Mouse",40.37383178,214
21,pursuit,"Mouse",38.85786802,197
22,pursuit,"Mouse",36.92318436,179
23,pursuit,"Mouse",36.23907104,183
24,pursuit,"Mouse",35.91573034,178
25,pursuit,"Mouse",35.83727811,169
26,pursuit,"Mouse",35.75636943,157
27,pursuit,"Mouse",35.67746914,162
28,pursuit,"Mouse",35.53125000,144
29,pursuit,"Mouse",35.48848684,152
30,pursuit,"Mouse",35.30753968,126
31,pursuit,"Mouse",35.15748031,127
32,pursuit,"Mouse",34.97689076,119
33,pursuit,"Mouse",34.87857143,105
34,pursuit,"Mouse",34.77546296,108
35,pursuit,"Mouse",34.62750000,100
36,pursuit,"Mouse",34.54210526,95
37,pursuit,"Mouse",34.46703297,91
38,pursuit,"Mouse",34.25617284,81
39,pursuit,"Mouse",34.12974684,79
40,pursuit,"Mouse",33.93214286,70
41,pursuit,"Mouse",33.84507042,71
42,pursuit,"Mouse",33.77238806,67
43,pursuit,"Mouse",33.65725806,62
44,pursuit,"Mouse",33.63135593,59
45,pursuit,"Mouse",33.63768116,69
46,pursuit,"Mouse",33.67452830,53
47,pursuit,"Mouse",33.62500000,62
48,pursuit,"Mouse",33.56363636,55
49,pursuit,"Mouse",33.52830189,53
50,pursuit,"Mouse",33.48660714,56
51,pursuit,"Mouse",33.49180328,61
52,pursuit,"Mouse",33.44583333,60
53,pursuit,"Mouse",33.40196078,51
54,pursuit,"Mouse",33.26209677,62
55,pursuit,"Mouse",33.18333333,60
56,pursuit,"Mouse",33.09259259,54
57,pursuit,"Mouse",33.03888889,45
58,pursuit,"Mouse",33.02419355,62
59,pursuit,"Mouse",33.00833333,60
60,pursuit,"Mouse",32.91810345,58
61,pursuit,"Mouse",32.93032787,61
62,pursuit,"Mouse",32.90163934,61
63,pursuit,"Mouse",32.88596491,57
64,pursuit,"Mouse",32.94396552,58
65,pursuit,"Mouse",32.96982759,58
66,pursuit,"Mouse",32.98728814,59
67,pursuit,"Mouse",32.91500000,50
68,pursuit,"Mouse",32.90476190,63
69,pursuit,"Mouse",32.89035088,57
70,pursuit,"Mouse",32.82203390,59
71,pursuit,"Mouse",32.74193548,62
72,pursuit,"Mouse",32.60964912,57
73,pursuit,"Mouse",32.52777778,54
74,pursuit,"Mouse",32.49545455,55
75,pursuit,"Mouse",32.47619048,63
76,pursuit,"Mouse",32.42241379,58
77,pursuit,"Mouse",32.28017241,58
78,pursuit,"Mouse",32.04687500,48
79,pursuit,"Mouse",32.17410714,56
80,pursuit,"Mouse",32.10000000,60
81,pursuit,"Mouse",31.97950820,61
82,pursuit,"Mouse",31.83214286,70
83,pursuit,"Mouse",31.39705882,68
84,pursuit,"Mouse",31.10169492,59
85,pursuit,"Mouse",30.80681818,44
86,pursuit,"Mouse",30.87500000,40
87,pursuit,"Mouse",30.98979592,49
88,pursuit,"Mouse",30.83962264,53
89,pursuit,"Mouse",30.74137931,58
90,pursuit,"Mouse",30.41810345,58
91,pursuit,"Mouse",30.35000000,55
92,pursuit,"Mouse",30.24090909,55
93,pursuit,"Mouse",30.12254902,51
94,pursuit,"Mouse",30.10593220,59
95,pursuit,"Mouse",30.08173077,52
96,pursuit,"Mouse",30.08490566,53
97,pursuit,"Mouse",29.99074074,54
98,pursuit,"Mouse",30.01984127,63
99,pursuit,"Mouse",29.91363636,55
100,pursuit,"Mouse",29.79464286,56
0,ambush,"Bird",53.66127847,1361
0,pursuit,"Bird",47.68796992,266
1,ambush,"Bird",54.77834008,988
1,pursuit,"Bird",40.71666667,120
2,pursuit,"Bird",34.03365385,52
2,ambush,"Bird",35.17605634,142
3,ambush,"Bird",35.85860656,122
3,pursuit,"Bird",35.61904762,42
4,ambush,"Bird",36.01724138,116
4,pursuit,"Bird",36.45588235,34
5,ambush,"Bird",35.82107843,102
5,pursuit,"Bird",36.07407407,27
6,ambush,"Bird",36.82500000,100
6,pursuit,"Bird",36.04629630,27
7,ambush,"Bird",37.16371681,113
7,pursuit,"Bird",36.20454545,22
8,ambush,"Bird",37.23717949,117
8,pursuit,"Bird",36.59210526,19
9,ambush,"Bird",37.29583333,120
9,pursuit,"Bird",36.66250000,20
10,ambush,"Bird",38.03244275,131
10,pursuit,"Bird",36.23958333,24
11,ambush,"Bird",38.12132353,136
11,pursuit,"Bird",36.43103448,29
12,ambush,"Bird",38.24107143,140
12,pursuit,"Bird",37.00806452,31
13,ambush,"Bird",38.47147651,149
13,pursuit,"Bird",36.12962963,27
14,ambush,"Bird",38.52272727,143
14,pursuit,"Bird",35.33333333,24
15,ambush,"Bird",38.54299363,157
15,pursuit,"Bird",34.57000000,25
16,pursuit,"Bird",34.21666667,30
16,ambush,"Bird",38.26204819,166
17,pursuit,"Bird",34.29545455,33
17,ambush,"Bird",37.91772152,158
18,ambush,"Bird",37.38527397,146
18,pursuit,"Bird",34.83974359,39
19,pursuit,"Bird",34.52027027,37
19,ambush,"Bird",37.50517241,145
20,pursuit,"Bird",33.73837209,43
20,ambush,"Bird",37.13869863,146
21,pursuit,"Bird",32.38513514,37
21,ambush,"Bird",36.07500000,140
22,pursuit,"Bird",32.09239130,46
22,ambush,"Bird",34.92338710,124
23,pursuit,"Bird",32.21808511,47
23,ambush,"Bird",33.99031008,129
24,pursuit,"Bird",30.35869565,46
24,ambush,"Bird",33.51730769,130
25,pursuit,"Bird",30.34051724,58
25,ambush,"Bird",33.21666667,105
26,pursuit,"Bird",30.35714286,63
26,ambush,"Bird",33.01807229,83
27,pursuit,"Bird",30.32608696,69
27,ambush,"Bird",32.85126582,79
28,pursuit,"Bird",30.29605263,76
28,ambush,"Bird",32.82500000,70
29,pursuit,"Bird",30.23563218,87
29,ambush,"Bird",32.51086957,46
30,pursuit,"Bird",30.18157895,95
30,ambush,"Bird",32.03571429,21
31,pursuit,"Bird",30.23076923,117
31,ambush,"Bird",31.50000000,6
32,pursuit,"Bird",30.02954545,110
32,ambush,"Bird",29.37500000,2
33,pursuit,"Bird",29.98008850,113
33,ambush,"Bird",29.50000000,1
34,pursuit,"Bird",29.80555556,99
35,pursuit,"Bird",29.79901961,102
36,pursuit,"Bird",29.66358025,81
37,pursuit,"Bird",29.63888889,90
38,pursuit,"Bird",29.51829268,82
39,pursuit,"Bird",29.53012048,83
40,pursuit,"Bird",29.45608108,74
41,pursuit,"Bird",29.33333333,63
42,pursuit,"Bird",29.10833333,60
43,pursuit,"Bird",28.95258621,58
44,pursuit,"Bird",28.90686275,51
45,pursuit,"Bird",28.88181818,55
46,pursuit,"Bird",28.88671875,64
47,pursuit,"Bird",28.72959184,49
48,pursuit,"Bird",28.71491228,57
49,pursuit,"Bird",28.67346939,49
