Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,27.0,10.0,18.0,45.0,0.0,Rabbit
0.0,pursuit,21.0,92.0,19.0,30.0,0.0,Rabbit
0.0,pursuit,78.0,69.0,36.0,15.0,0.0,Rabbit
0.0,pursuit,67.0,26.0,81.0,16.0,0.0,Rabbit
0.0,pursuit,20.0,90.0,80.0,59.0,0.0,Rabbit
0.0,pursuit,38.0,90.0,23.0,90.0,0.0,Rabbit
0.0,pursuit,11.0,87.0,87.0,100.0,0.0,Rabbit
0.0,pursuit,46.0,34.0,57.0,73.0,0.0,Rabbit
0.0,pursuit,85.0,95.0,62.0,90.0,0.0,Rabbit
0.0,pursuit,99.0,71.0,57.0,81.0,1.0,Rabbit
0.0,pursuit,60.0,70.0,58.0,58.0,0.0,Rabbit
0.0,pursuit,40.0,63.0,27.0,99.0,0.0,Rabbit
0.0,pursuit,49.0,59.0,47.0,6.0,0.0,Rabbit
0.0,pursuit,74.0,20.0,84.0,94.0,0.0,Rabbit
0.0,pursuit,1.0,54.0,51.0,36.0,0.0,Rabbit
0.0,pursuit,67.0,29.0,20.0,1.0,0.0,Rabbit
0.0,pursuit,52.0,11.0,59.0,68.0,0.0,Rabbit
0.0,pursuit,18.0,94.0,96.0,54.0,1.0,Rabbit
0.0,pursuit,90.0,3.0,18.0,84.0,0.0,Rabbit
0.0,pursuit,88.0,83.0,1.0,14.0,0.0,Rabbit
0.0,pursuit,14.0,100.0,52.0,99.0,0.0,Rabbit
0.0,pursuit,67.0,34.0,11.0,76.0,0.0,Rabbit
0.0,pursuit,71.0,100.0,97.0,10.0,0.0,Rabbit
0.0,pursuit,44.0,58.0,7.0,87.0,0.0,Rabbit
0.0,pursuit,79.0,73.0,93.0,29.0,0.0,Rabbit
0.0,pursuit,21.0,91.0,54.0,88.0,0.0,Rabbit
0.0,pursuit,21.0,51.0,2.0,82.0,0.0,Rabbit
0.0,pursuit,56.0,54.0,18.0,27.0,0.0,Rabbit
0.0,pursuit,1.0,80.0,95.0,71.0,0.0,Rabbit
0.0,pursuit,44.0,34.0,6.0,38.0,0.0,Rabbit
0.0,pursuit,51.0,5.0,36.0,42.0,1.0,Rabbit
0.0,pursuit,55.0,7.0,21.0,90.0,0.0,Rabbit
0.0,pursuit,22.0,56.0,73.0,34.0,1.0,Rabbit
0.0,pursuit,72.0,21.0,22.0,21.0,0.0,Rabbit
0.0,pursuit,91.0,98.0,73.0,19.0,0.0,Rabbit
0.0,pursuit,89.0,66.0,20.0,34.0,0.0,Rabbit
0.0,pursuit,70.0,97.0,55.0,35.0,0.0,Rabbit
0.0,pursuit,5.0,24.0,54.0,24.0,0.0,Rabbit
0.0,pursuit,38.0,37.0,38.0,77.0,0.0,Rabbit
0.0,pursuit,9.0,31.0,57.0,17.0,0.0,Rabbit
0.0,pursuit,81.0,75.0,24.0,35.0,1.0,Rabbit
0.0,pursuit,49.0,6.0,74.0,4.0,0.0,Rabbit
0.0,pursuit,67.0,52.0,17.0,1.0,0.0,Rabbit
0.0,pursuit,28.0,46.0,65.0,56.0,0.0,Rabbit
0.0,pursuit,42.0,14.0,30.0,90.0,0.0,Rabbit
0.0,pursuit,23.0,22.0,94.0,34.0,0.0,Rabbit
0.0,pursuit,61.0,19.0,77.0,48.0,0.0,Rabbit
0.0,pursuit,49.0,67.0,90.0,40.0,0.0,Rabbit
0.0,pursuit,62.0,19.0,64.0,80.0,1.0,Rabbit
0.0,pursuit,11.0,36.0,98.0,50.0,0.0,Rabbit
0.0,pursuit,31.0,6.0,3.0,57.0,1.0,Rabbit
0.0,pursuit,48.0,71.0,18.0,89.0,0.0,Rabbit
0.0,pursuit,65.0,92.0,59.0,99.0,0.0,Rabbit
0.0,pursuit,86.0,11.0,99.0,98.0,0.0,Rabbit
0.0,pursuit,37.0,36.0,51.0,56.0,0.0,Rabbit
0.0,pursuit,63.0,5.0,62.0,50.0,0.0,Rabbit
0.0,pursuit,23.0,76.0,10.0,43.0,0.0,Rabbit
0.0,pursuit,97.0,69.0,94.0,7.0,0.0,Rabbit
0.0,pursuit,16.0,43.0,18.0,15.0,0.0,Rabbit
0.0,pursuit,14.0,46.0,10.0,12.0,0.0,Rabbit
0.0,pursuit,32.0,79.0,69.0,40.0,0.0,Rabbit
0.0,pursuit,41.0,99.0,14.0,66.0,1.0,Rabbit
0.0,pursuit,14.0,50.0,63.0,26.0,1.0,Rabbit
0.0,pursuit,70.0,78.0,85.0,95.0,0.0,Rabbit
0.0,pursuit,46.0,24.0,59.0,76.0,0.0,Rabbit
0.0,pursuit,30.0,91.0,51.0,22.0,0.0,Rabbit
0.0,pursuit,3.0,26.0,34.0,3.0,0.0,Rabbit
0.0,pursuit,57.0,9.0,73.0,67.0,1.0,Rabbit
0.0,pursuit,90.0,7.0,29.0,76.0,0.0,Rabbit
0.0,pursuit,93.0,32.0,22.0,26.0,0.0,Rabbit
0.0,pursuit,33.0,54.0,77.0,28.0,0.0,Rabbit
0.0,pursuit,60.0,3.0,47.0,76.0,0.0,Rabbit
0.0,pursuit,11.0,52.0,91.0,58.0,1.0,Rabbit
0.0,pursuit,92.0,36.0,20.0,4.0,0.0,Rabbit
0.0,pursuit,16.0,10.0,9.0,91.0,0.0,Rabbit
0.0,pursuit,84.0,42.0,49.0,4.0,0.0,Rabbit
0.0,pursuit,71.0,92.0,66.0,8.0,0.0,Rabbit
0.0,pursuit,95.0,91.0,77.0,57.0,1.0,Rabbit
0.0,pursuit,19.0,77.0,12.0,63.0,0.0,Rabbit
0.0,pursuit,29.0,51.0,65.0,65.0,0.0,Rabbit
0.0,pursuit,54.0,12.0,96.0,63.0,0.0,Rabbit
0.0,pursuit,92.0,1.0,68.0,29.0,0.0,Rabbit
0.0,pursuit,4.0,18.0,60.0,41.0,0.0,Rabbit
0.0,pursuit,9.0,20.0,71.0,43.0,0.0,Rabbit
0.0,pursuit,21.0,3.0,53.0,39.0,1.0,Rabbit
0.0,pursuit,53.0,46.0,76.0,18.0,0.0,Rabbit
0.0,pursuit,95.0,80.0,85.0,58.0,0.0,Rabbit
0.0,pursuit,42.0,83.0,4.0,10.0,0.0,Rabbit
0.0,pursuit,65.0,21.0,37.0,85.0,0.0,Rabbit
0.0,pursuit,1.0,41.0,78.0,13.0,0.0,Rabbit
0.0,pursuit,31.0,2.0,36.0,48.0,0.0,Rabbit
0.0,pursuit,33.0,18.0,60.0,76.0,1.0,Rabbit
0.0,pursuit,82.0,98.0,56.0,56.0,0.0,Rabbit
0.0,pursuit,93.0,76.0,97.0,92.0,1.0,Rabbit
0.0,pursuit,38.0,56.0,2.0,39.0,0.0,Rabbit
0.0,pursuit,19.0,76.0,40.0,44.0,0.0,Rabbit
0.0,pursuit,15.0,72.0,77.0,87.0,0.0,Rabbit
0.0,pursuit,19.0,31.0,91.0,91.0,0.0,Rabbit
0.0,pursuit,44.0,63.0,99.0,50.0,0.0,Rabbit
0.0,pursuit,43.0,43.0,80.0,62.0,0.0,Rabbit
0.0,pursuit,8.0,52.0,82.0,53.0,0.0,Rabbit
0.0,pursuit,5.0,12.0,76.0,14.0,0.0,Rabbit
0.0,pursuit,64.0,29.0,29.0,4.0,0.0,Rabbit
0.0,pursuit,56.0,23.0,48.0,82.0,0.0,Rabbit
0.0,pursuit,31.0,35.0,84.0,19.0,0.0,Rabbit
0.0,pursuit,80.0,88.0,65.0,54.0,0.0,Rabbit
0.0,pursuit,22.0,77.0,32.0,52.0,0.0,Rabbit
0.0,pursuit,5.0,30.0,100.0,22.0,0.0,Rabbit
0.0,pursuit,13.0,20.0,73.0,8.0,0.0,Rabbit
0.0,pursuit,34.0,93.0,51.0,14.0,0.0,Rabbit
0.0,pursuit,40.0,86.0,54.0,84.0,0.0,Rabbit
0.0,pursuit,86.0,99.0,2.0,34.0,0.0,Rabbit
0.0,pursuit,10.0,91.0,52.0,45.0,0.0,Rabbit
0.0,pursuit,83.0,40.0,27.0,16.0,0.0,Rabbit
0.0,pursuit,17.0,90.0,95.0,20.0,0.0,Rabbit
0.0,pursuit,80.0,84.0,27.0,67.0,0.0,Rabbit
0.0,pursuit,21.0,5.0,100.0,67.0,0.0,Rabbit
0.0,pursuit,97.0,6.0,71.0,9.0,0.0,Rabbit
0.0,pursuit,19.0,4.0,67.0,79.0,0.0,Rabbit
0.0,pursuit,83.0,29.0,87.0,60.0,0.0,Rabbit
0.0,pursuit,21.0,28.0,71.0,52.0,0.0,Rabbit
0.0,pursuit,75.0,32.0,36.0,29.0,0.0,Rabbit
0.0,pursuit,26.0,100.0,89.0,25.0,0.0,Rabbit
0.0,pursuit,91.0,64.0,43.0,91.0,0.0,Rabbit
0.0,pursuit,8.0,8.0,56.0,99.0,0.0,Rabbit
0.0,pursuit,1.0,4.0,57.0,77.0,0.0,Rabbit
0.0,pursuit,99.0,56.0,65.0,85.0,0.0,Rabbit
0.0,pursuit,18.0,67.0,19.0,42.0,0.0,Rabbit
0.0,pursuit,28.0,71.0,41.0,63.0,0.0,Rabbit
0.0,pursuit,66.0,44.0,19.0,62.0,0.0,Rabbit
0.0,pursuit,46.0,37.0,59.0,55.0,0.0,Rabbit
0.0,pursuit,76.0,57.0,48.0,56.0,1.0,Rabbit
0.0,pursuit,36.0,89.0,71.0,99.0,0.0,Rabbit
0.0,pursuit,83.0,58.0,76.0,70.0,1.0,Rabbit
0.0,pursuit,51.0,43.0,100.0,96.0,0.0,Rabbit
0.0,pursuit,20.0,89.0,89.0,87.0,0.0,Rabbit
0.0,pursuit,81.0,71.0,3.0,8.0,0.0,Rabbit
0.0,pursuit,25.0,13.0,40.0,38.0,0.0,Rabbit
0.0,pursuit,39.0,99.0,74.0,71.0,0.0,Rabbit
0.0,pursuit,49.0,88.0,72.0,33.0,0.0,Rabbit
0.0,pursuit,91.0,28.0,88.0,70.0,0.0,Rabbit
0.0,pursuit,60.0,50.0,2.0,17.0,0.0,Rabbit
0.0,pursuit,3.0,89.0,67.0,30.0,0.0,Rabbit
0.0,pursuit,59.0,15.0,66.0,48.0,0.0,Rabbit
0.0,pursuit,9.0,74.0,95.0,51.0,0.0,Rabbit
0.0,pursuit,21.0,91.0,62.0,2.0,0.0,Rabbit
0.0,pursuit,46.0,82.0,52.0,79.0,0.0,Rabbit
0.0,pursuit,8.0,56.0,25.0,35.0,0.0,Rabbit
0.0,pursuit,44.0,65.0,52.0,74.0,0.0,Rabbit
0.0,pursuit,69.0,77.0,26.0,1.0,0.0,Rabbit
0.0,pursuit,18.0,23.0,15.0,23.0,0.0,Rabbit
0.0,pursuit,94.0,100.0,78.0,16.0,0.0,Rabbit
0.0,pursuit,12.0,24.0,6.0,75.0,0.0,Rabbit
0.0,pursuit,7.0,72.0,91.0,47.0,0.0,Rabbit
0.0,pursuit,90.0,77.0,16.0,40.0,0.0,Rabbit
0.0,pursuit,47.0,66.0,73.0,46.0,0.0,Rabbit
0.0,pursuit,35.0,92.0,83.0,84.0,0.0,Rabbit
0.0,pursuit,9.0,35.0,98.0,53.0,1.0,Rabbit
0.0,pursuit,29.0,2.0,54.0,36.0,0.0,Rabbit
0.0,pursuit,57.0,41.0,22.0,11.0,0.0,Rabbit
0.0,pursuit,28.0,31.0,85.0,5.0,0.0,Rabbit
0.0,pursuit,31.0,60.0,70.0,16.0,0.0,Rabbit
0.0,pursuit,5.0,62.0,98.0,32.0,0.0,Rabbit
0.0,pursuit,65.0,98.0,69.0,41.0,0.0,Rabbit
0.0,pursuit,94.0,65.0,61.0,55.0,1.0,Rabbit
0.0,pursuit,55.0,73.0,99.0,100.0,1.0,Rabbit
0.0,pursuit,71.0,39.0,36.0,32.0,0.0,Rabbit
0.0,pursuit,55.0,12.0,86.0,24.0,0.0,Rabbit
0.0,pursuit,84.0,24.0,84.0,5.0,0.0,Rabbit
0.0,pursuit,18.0,93.0,93.0,88.0,0.0,Rabbit
0.0,pursuit,48.0,59.0,25.0,72.0,0.0,Rabbit
0.0,pursuit,29.0,61.0,56.0,4.0,0.0,Rabbit
0.0,pursuit,83.0,3.0,91.0,40.0,0.0,Rabbit
0.0,pursuit,33.0,18.0,8.0,77.0,0.0,Rabbit
0.0,pursuit,43.0,32.0,37.0,5.0,0.0,Rabbit
0.0,pursuit,26.0,82.0,54.0,83.0,0.0,Rabbit
0.0,pursuit,72.0,57.0,72.0,52.0,0.0,Rabbit
0.0,pursuit,39.0,74.0,44.0,75.0,0.0,Rabbit
0.0,pursuit,84.0,79.0,6.0,45.0,0.0,Rabbit
0.0,pursuit,20.0,79.0,62.0,42.0,0.0,Rabbit
0.0,pursuit,56.0,2.0,15.0,37.0,0.0,Rabbit
0.0,pursuit,57.0,93.0,71.0,12.0,0.0,Rabbit
0.0,pursuit,54.0,40.0,91.0,57.0,0.0,Rabbit
0.0,pursuit,3.0,31.0,16.0,98.0,0.0,Rabbit
0.0,pursuit,96.0,40.0,39.0,77.0,0.0,Rabbit
0.0,pursuit,23.0,29.0,34.0,56.0,0.0,Rabbit
0.0,pursuit,20.0,100.0,48.0,24.0,0.0,Rabbit
0.0,pursuit,10.0,97.0,90.0,86.0,0.0,Rabbit
0.0,pursuit,38.0,95.0,30.0,30.0,0.0,Rabbit
0.0,pursuit,48.0,20.0,8.0,50.0,0.0,Rabbit
0.0,pursuit,49.0,93.0,14.0,100.0,0.0,Rabbit
0.0,pursuit,63.0,86.0,28.0,58.0,0.0,Rabbit
0.0,pursuit,88.0,12.0,76.0,55.0,0.0,Rabbit
0.0,pursuit,6.0,77.0,72.0,36.0,1.0,Rabbit
0.0,pursuit,33.0,40.0,22.0,77.0,0.0,Rabbit
0.0,pursuit,83.0,89.0,9.0,77.0,1.0,Rabbit
0.0,pursuit,33.0,91.0,63.0,42.0,0.0,Rabbit
0.0,pursuit,42.0,69.0,62.0,77.0,1.0,Rabbit
0.0,pursuit,21.0,22.0,88.0,83.0,1.0,Rabbit
0.0,pursuit,8.0,70.0,15.0,92.0,0.0,Rabbit
0.0,pursuit,11.0,57.0,12.0,10.0,0.0,Rabbit
0.0,pursuit,66.0,87.0,73.0,65.0,0.0,Rabbit
0.0,pursuit,53.0,4.0,86.0,21.0,0.0,Rabbit
0.0,pursuit,21.0,91.0,24.0,98.0,0.0,Rabbit
0.0,pursuit,91.0,12.0,66.0,67.0,1.0,Rabbit
0.0,pursuit,28.0,90.0,1.0,40.0,0.0,Rabbit
0.0,pursuit,68.0,59.0,61.0,81.0,0.0,Rabbit
0.0,pursuit,95.0,33.0,63.0,49.0,1.0,Rabbit
