Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,ambush,29.0,59.0,41.0,92.0,1.0,Bird
0.0,ambush,61.0,23.0,8.0,49.0,0.0,Bird
0.0,ambush,68.0,63.0,32.0,65.0,1.0,Bird
0.0,ambush,95.0,8.0,34.0,53.0,0.0,Bird
0.0,ambush,58.0,89.0,92.0,57.0,1.0,Bird
0.0,ambush,5.0,92.0,22.0,31.0,0.0,Bird
0.0,ambush,62.0,69.0,43.0,80.0,1.0,Bird
0.0,ambush,73.0,52.0,43.0,4.0,0.0,Bird
0.0,ambush,58.0,39.0,52.0,15.0,0.0,Bird
0.0,ambush,84.0,87.0,5.0,100.0,0.0,Bird
0.0,ambush,15.0,89.0,19.0,34.0,1.0,Bird
0.0,ambush,94.0,67.0,70.0,56.0,0.0,Bird
0.0,ambush,78.0,56.0,72.0,54.0,1.0,Bird
0.0,ambush,98.0,70.0,83.0,50.0,1.0,Bird
0.0,ambush,46.0,5.0,92.0,71.0,1.0,Bird
0.0,ambush,21.0,83.0,9.0,1.0,0.0,Bird
0.0,ambush,66.0,76.0,60.0,55.0,1.0,Bird
0.0,ambush,100.0,6.0,38.0,83.0,1.0,Bird
0.0,ambush,72.0,96.0,14.0,37.0,0.0,Bird
0.0,ambush,100.0,65.0,21.0,41.0,0.0,Bird
0.0,ambush,76.0,13.0,53.0,71.0,0.0,Bird
0.0,ambush,49.0,42.0,88.0,15.0,1.0,Bird
0.0,ambush,44.0,83.0,35.0,20.0,0.0,Bird
0.0,ambush,85.0,71.0,79.0,53.0,0.0,Bird
0.0,ambush,100.0,49.0,86.0,54.0,1.0,Bird
0.0,ambush,96.0,45.0,14.0,3.0,0.0,Bird
0.0,ambush,49.0,9.0,82.0,8.0,0.0,Bird
0.0,ambush,86.0,45.0,3.0,44.0,0.0,Bird
0.0,ambush,16.0,31.0,70.0,62.0,0.0,Bird
0.0,ambush,49.0,95.0,37.0,14.0,0.0,Bird
0.0,ambush,55.0,95.0,69.0,8.0,0.0,Bird
0.0,ambush,13.0,70.0,19.0,47.0,0.0,Bird
0.0,ambush,43.0,33.0,90.0,24.0,0.0,Bird
0.0,ambush,92.0,91.0,85.0,37.0,0.0,Bird
0.0,ambush,77.0,48.0,78.0,1.0,0.0,Bird
0.0,ambush,34.0,3.0,71.0,31.0,0.0,Bird
0.0,ambush,77.0,69.0,62.0,32.0,1.0,Bird
0.0,ambush,22.0,31.0,49.0,80.0,0.0,Bird
0.0,ambush,36.0,69.0,94.0,76.0,1.0,Bird
0.0,ambush,37.0,77.0,25.0,96.0,1.0,Bird
0.0,ambush,63.0,95.0,14.0,55.0,1.0,Bird
0.0,ambush,71.0,93.0,9.0,3.0,0.0,Bird
0.0,ambush,71.0,21.0,97.0,37.0,1.0,Bird
0.0,ambush,54.0,65.0,21.0,54.0,0.0,Bird
0.0,ambush,28.0,12.0,39.0,50.0,0.0,Bird
0.0,ambush,58.0,75.0,67.0,95.0,1.0,Bird
0.0,ambush,21.0,26.0,26.0,91.0,0.0,Bird
0.0,ambush,11.0,88.0,81.0,31.0,0.0,Bird
0.0,ambush,16.0,18.0,78.0,74.0,0.0,Bird
0.0,ambush,31.0,82.0,60.0,39.0,1.0,Bird
0.0,ambush,21.0,16.0,63.0,66.0,0.0,Bird
0.0,ambush,18.0,8.0,31.0,13.0,1.0,Bird
0.0,ambush,22.0,22.0,62.0,25.0,0.0,Bird
0.0,ambush,94.0,94.0,4.0,71.0,0.0,Bird
0.0,ambush,59.0,68.0,10.0,61.0,1.0,Bird
0.0,ambush,80.0,7.0,4.0,24.0,0.0,Bird
0.0,ambush,64.0,70.0,31.0,30.0,1.0,Bird
0.0,ambush,64.0,55.0,57.0,86.0,1.0,Bird
