Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,ambush,71.0,47.0,60.0,52.0,0.0,Rabbit
0.0,ambush,10.0,99.0,93.0,51.0,0.0,Rabbit
0.0,ambush,58.0,10.0,53.0,98.0,0.0,Rabbit
0.0,ambush,92.0,79.0,57.0,12.0,1.0,Rabbit
0.0,ambush,67.0,61.0,88.0,39.0,1.0,Rabbit
0.0,ambush,81.0,15.0,65.0,37.0,1.0,Rabbit
0.0,ambush,73.0,35.0,21.0,14.0,0.0,Rabbit
0.0,ambush,62.0,22.0,2.0,15.0,0.0,Rabbit
0.0,ambush,91.0,33.0,80.0,6.0,0.0,Rabbit
0.0,ambush,91.0,78.0,42.0,89.0,1.0,Rabbit
0.0,ambush,37.0,69.0,21.0,86.0,1.0,Rabbit
0.0,ambush,41.0,31.0,87.0,48.0,0.0,Rabbit
0.0,ambush,85.0,29.0,47.0,12.0,0.0,Rabbit
0.0,ambush,21.0,4.0,23.0,44.0,0.0,Rabbit
0.0,ambush,100.0,87.0,35.0,63.0,0.0,Rabbit
0.0,ambush,67.0,5.0,9.0,57.0,0.0,Rabbit
0.0,ambush,57.0,65.0,1.0,96.0,0.0,Rabbit
0.0,ambush,11.0,28.0,55.0,9.0,0.0,Rabbit
0.0,ambush,34.0,27.0,22.0,25.0,0.0,Rabbit
0.0,ambush,82.0,18.0,83.0,84.0,1.0,Rabbit
0.0,ambush,14.0,31.0,2.0,3.0,0.0,Rabbit
0.0,ambush,77.0,6.0,37.0,50.0,0.0,Rabbit
0.0,ambush,53.0,62.0,14.0,52.0,0.0,Rabbit
0.0,ambush,93.0,52.0,95.0,38.0,0.0,Rabbit
0.0,ambush,75.0,44.0,86.0,56.0,1.0,Rabbit
0.0,ambush,37.0,3.0,45.0,33.0,0.0,Rabbit
0.0,ambush,61.0,32.0,5.0,57.0,1.0,Rabbit
0.0,ambush,26.0,89.0,77.0,11.0,1.0,Rabbit
0.0,ambush,73.0,63.0,9.0,60.0,1.0,Rabbit
0.0,ambush,88.0,39.0,79.0,94.0,1.0,Rabbit
0.0,ambush,89.0,50.0,81.0,50.0,1.0,Rabbit
0.0,ambush,41.0,29.0,9.0,52.0,0.0,Rabbit
0.0,ambush,10.0,97.0,24.0,69.0,0.0,Rabbit
0.0,ambush,27.0,8.0,57.0,29.0,0.0,Rabbit
0.0,ambush,29.0,91.0,57.0,66.0,0.0,Rabbit
0.0,ambush,1.0,48.0,36.0,78.0,0.0,Rabbit
0.0,ambush,56.0,83.0,25.0,8.0,0.0,Rabbit
0.0,ambush,27.0,61.0,11.0,93.0,0.0,Rabbit
0.0,ambush,66.0,35.0,90.0,29.0,0.0,Rabbit
0.0,ambush,59.0,11.0,53.0,53.0,0.0,Rabbit
0.0,ambush,94.0,28.0,9.0,88.0,0.0,Rabbit
0.0,ambush,11.0,1.0,40.0,82.0,0.0,Rabbit
0.0,ambush,85.0,54.0,4.0,94.0,1.0,Rabbit
0.0,ambush,48.0,67.0,88.0,5.0,0.0,Rabbit
0.0,ambush,8.0,72.0,93.0,63.0,1.0,Rabbit
0.0,ambush,46.0,68.0,82.0,50.0,0.0,Rabbit
0.0,ambush,63.0,18.0,22.0,48.0,0.0,Rabbit
0.0,ambush,7.0,2.0,16.0,31.0,0.0,Rabbit
0.0,ambush,38.0,95.0,77.0,28.0,0.0,Rabbit
0.0,ambush,78.0,37.0,97.0,50.0,1.0,Rabbit
0.0,ambush,80.0,42.0,58.0,8.0,0.0,Rabbit
0.0,ambush,69.0,44.0,85.0,11.0,0.0,Rabbit
0.0,ambush,86.0,52.0,49.0,66.0,0.0,Rabbit
0.0,ambush,30.0,84.0,19.0,72.0,0.0,Rabbit
0.0,ambush,88.0,20.0,39.0,24.0,0.0,Rabbit
0.0,ambush,11.0,21.0,31.0,93.0,1.0,Rabbit
0.0,ambush,67.0,67.0,55.0,16.0,1.0,Rabbit
0.0,ambush,96.0,8.0,1.0,87.0,1.0,Rabbit
0.0,ambush,63.0,18.0,45.0,32.0,0.0,Rabbit
0.0,ambush,61.0,46.0,77.0,68.0,0.0,Rabbit
0.0,ambush,15.0,91.0,15.0,58.0,1.0,Rabbit
0.0,ambush,36.0,48.0,19.0,37.0,0.0,Rabbit
0.0,ambush,21.0,82.0,87.0,53.0,1.0,Rabbit
0.0,ambush,87.0,75.0,94.0,74.0,0.0,Rabbit
0.0,ambush,1.0,43.0,32.0,38.0,0.0,Rabbit
0.0,ambush,75.0,52.0,69.0,94.0,1.0,Rabbit
0.0,ambush,49.0,26.0,46.0,19.0,0.0,Rabbit
0.0,ambush,25.0,4.0,79.0,36.0,0.0,Rabbit
0.0,ambush,92.0,88.0,34.0,67.0,1.0,Rabbit
0.0,ambush,3.0,38.0,66.0,42.0,0.0,Rabbit
0.0,ambush,79.0,68.0,71.0,85.0,0.0,Rabbit
0.0,ambush,81.0,71.0,22.0,23.0,0.0,Rabbit
0.0,ambush,55.0,88.0,40.0,89.0,1.0,Rabbit
0.0,ambush,33.0,65.0,96.0,18.0,1.0,Rabbit
0.0,ambush,63.0,28.0,34.0,29.0,0.0,Rabbit
0.0,ambush,69.0,8.0,72.0,20.0,0.0,Rabbit
0.0,ambush,16.0,56.0,12.0,79.0,1.0,Rabbit
0.0,ambush,56.0,95.0,73.0,1.0,0.0,Rabbit
0.0,ambush,54.0,44.0,49.0,50.0,0.0,Rabbit
0.0,ambush,29.0,22.0,63.0,26.0,0.0,Rabbit
0.0,ambush,77.0,30.0,54.0,26.0,0.0,Rabbit
0.0,ambush,38.0,42.0,77.0,99.0,0.0,Rabbit
0.0,ambush,15.0,84.0,86.0,78.0,1.0,Rabbit
0.0,ambush,28.0,15.0,4.0,43.0,1.0,Rabbit
0.0,ambush,84.0,35.0,96.0,46.0,1.0,Rabbit
0.0,ambush,7.0,32.0,85.0,36.0,0.0,Rabbit
0.0,ambush,93.0,65.0,13.0,53.0,1.0,Rabbit
0.0,ambush,37.0,39.0,97.0,20.0,0.0,Rabbit
0.0,ambush,2.0,17.0,51.0,70.0,0.0,Rabbit
0.0,ambush,11.0,50.0,6.0,97.0,0.0,Rabbit
0.0,ambush,73.0,60.0,85.0,54.0,1.0,Rabbit
0.0,ambush,48.0,71.0,15.0,68.0,1.0,Rabbit
0.0,ambush,40.0,62.0,52.0,77.0,0.0,Rabbit
0.0,ambush,32.0,57.0,92.0,70.0,0.0,Rabbit
0.0,ambush,83.0,40.0,55.0,86.0,0.0,Rabbit
0.0,ambush,48.0,15.0,58.0,79.0,0.0,Rabbit
0.0,ambush,59.0,16.0,23.0,76.0,0.0,Rabbit
0.0,ambush,25.0,96.0,12.0,10.0,0.0,Rabbit
0.0,ambush,38.0,88.0,5.0,83.0,1.0,Rabbit
0.0,ambush,97.0,91.0,98.0,89.0,0.0,Rabbit
0.0,ambush,72.0,65.0,79.0,17.0,1.0,Rabbit
0.0,ambush,31.0,14.0,56.0,68.0,0.0,Rabbit
0.0,ambush,41.0,87.0,41.0,57.0,0.0,Rabbit
0.0,ambush,3.0,19.0,91.0,56.0,0.0,Rabbit
0.0,ambush,38.0,46.0,49.0,71.0,0.0,Rabbit
0.0,ambush,99.0,70.0,96.0,89.0,0.0,Rabbit
0.0,ambush,58.0,24.0,82.0,47.0,0.0,Rabbit
0.0,ambush,100.0,50.0,28.0,40.0,0.0,Rabbit
0.0,ambush,58.0,27.0,97.0,79.0,0.0,Rabbit
0.0,ambush,2.0,9.0,57.0,12.0,0.0,Rabbit
0.0,ambush,99.0,56.0,100.0,93.0,0.0,Rabbit
0.0,ambush,21.0,19.0,69.0,30.0,0.0,Rabbit
0.0,ambush,82.0,54.0,3.0,76.0,0.0,Rabbit
0.0,ambush,47.0,3.0,61.0,55.0,0.0,Rabbit
0.0,ambush,25.0,81.0,33.0,23.0,0.0,Rabbit
0.0,ambush,70.0,78.0,42.0,80.0,1.0,Rabbit
0.0,ambush,51.0,68.0,12.0,17.0,1.0,Rabbit
0.0,ambush,36.0,94.0,90.0,90.0,0.0,Rabbit
0.0,ambush,34.0,25.0,82.0,96.0,0.0,Rabbit
0.0,ambush,37.0,79.0,36.0,54.0,0.0,Rabbit
0.0,ambush,85.0,68.0,43.0,97.0,1.0,Rabbit
0.0,ambush,31.0,18.0,14.0,39.0,1.0,Rabbit
0.0,ambush,44.0,98.0,4.0,51.0,0.0,Rabbit
0.0,ambush,20.0,93.0,60.0,84.0,1.0,Rabbit
0.0,ambush,67.0,91.0,94.0,38.0,1.0,Rabbit
0.0,ambush,12.0,49.0,69.0,46.0,0.0,Rabbit
0.0,ambush,72.0,67.0,93.0,41.0,0.0,Rabbit
0.0,ambush,76.0,44.0,98.0,4.0,0.0,Rabbit
0.0,ambush,55.0,50.0,6.0,78.0,1.0,Rabbit
0.0,ambush,56.0,78.0,62.0,68.0,0.0,Rabbit
0.0,ambush,26.0,91.0,98.0,78.0,1.0,Rabbit
0.0,ambush,39.0,36.0,18.0,24.0,0.0,Rabbit
0.0,ambush,70.0,90.0,15.0,2.0,0.0,Rabbit
0.0,ambush,84.0,97.0,93.0,21.0,1.0,Rabbit
0.0,ambush,76.0,90.0,70.0,31.0,0.0,Rabbit
0.0,ambush,76.0,19.0,43.0,13.0,0.0,Rabbit
0.0,ambush,51.0,83.0,49.0,7.0,0.0,Rabbit
0.0,ambush,96.0,36.0,4.0,57.0,1.0,Rabbit
0.0,ambush,90.0,26.0,83.0,26.0,0.0,Rabbit
0.0,ambush,18.0,40.0,82.0,62.0,0.0,Rabbit
0.0,ambush,23.0,50.0,36.0,91.0,0.0,Rabbit
0.0,ambush,93.0,86.0,19.0,47.0,1.0,Rabbit
0.0,ambush,20.0,65.0,98.0,30.0,1.0,Rabbit
0.0,ambush,99.0,79.0,1.0,32.0,0.0,Rabbit
0.0,ambush,75.0,80.0,66.0,49.0,1.0,Rabbit
0.0,ambush,14.0,47.0,87.0,49.0,0.0,Rabbit
0.0,ambush,68.0,96.0,92.0,72.0,0.0,Rabbit
0.0,ambush,76.0,41.0,82.0,37.0,0.0,Rabbit
0.0,ambush,58.0,27.0,88.0,1.0,0.0,Rabbit
0.0,ambush,72.0,27.0,24.0,23.0,0.0,Rabbit
0.0,ambush,24.0,46.0,56.0,96.0,0.0,Rabbit
0.0,ambush,70.0,69.0,4.0,59.0,0.0,Rabbit
0.0,ambush,30.0,14.0,18.0,29.0,0.0,Rabbit
0.0,ambush,63.0,18.0,81.0,70.0,0.0,Rabbit
0.0,ambush,48.0,77.0,94.0,93.0,0.0,Rabbit
0.0,ambush,73.0,34.0,55.0,69.0,0.0,Rabbit
0.0,ambush,64.0,68.0,26.0,4.0,0.0,Rabbit
0.0,ambush,65.0,18.0,39.0,82.0,0.0,Rabbit
0.0,ambush,81.0,8.0,47.0,81.0,0.0,Rabbit
0.0,ambush,44.0,62.0,56.0,74.0,0.0,Rabbit
0.0,ambush,7.0,14.0,77.0,84.0,0.0,Rabbit
0.0,ambush,93.0,7.0,85.0,53.0,0.0,Rabbit
0.0,ambush,73.0,47.0,33.0,83.0,0.0,Rabbit
0.0,ambush,71.0,86.0,38.0,80.0,1.0,Rabbit
0.0,ambush,69.0,38.0,62.0,54.0,0.0,Rabbit
0.0,ambush,38.0,98.0,77.0,54.0,0.0,Rabbit
0.0,ambush,10.0,14.0,89.0,91.0,0.0,Rabbit
0.0,ambush,75.0,18.0,79.0,40.0,0.0,Rabbit
0.0,ambush,8.0,9.0,70.0,79.0,0.0,Rabbit
0.0,ambush,29.0,41.0,66.0,61.0,0.0,Rabbit
0.0,ambush,49.0,68.0,95.0,59.0,0.0,Rabbit
0.0,ambush,9.0,76.0,33.0,86.0,0.0,Rabbit
0.0,ambush,8.0,8.0,27.0,7.0,0.0,Rabbit
0.0,ambush,20.0,14.0,90.0,35.0,0.0,Rabbit
0.0,ambush,50.0,70.0,44.0,74.0,0.0,Rabbit
0.0,ambush,44.0,73.0,65.0,36.0,1.0,Rabbit
0.0,ambush,26.0,28.0,77.0,25.0,0.0,Rabbit
0.0,ambush,16.0,81.0,35.0,21.0,0.0,Rabbit
0.0,ambush,47.0,19.0,17.0,20.0,0.0,Rabbit
0.0,ambush,84.0,81.0,57.0,65.0,0.0,Rabbit
0.0,ambush,76.0,73.0,91.0,66.0,1.0,Rabbit
0.0,ambush,33.0,46.0,61.0,80.0,0.0,Rabbit
0.0,ambush,67.0,35.0,84.0,34.0,1.0,Rabbit
0.0,ambush,38.0,63.0,94.0,88.0,0.0,Rabbit
0.0,ambush,76.0,83.0,86.0,1.0,0.0,Rabbit
0.0,ambush,20.0,18.0,38.0,21.0,0.0,Rabbit
0.0,ambush,83.0,25.0,19.0,15.0,0.0,Rabbit
0.0,ambush,4.0,74.0,25.0,14.0,1.0,Rabbit
0.0,ambush,44.0,7.0,34.0,14.0,0.0,Rabbit
0.0,ambush,84.0,57.0,18.0,47.0,1.0,Rabbit
0.0,ambush,83.0,26.0,51.0,13.0,0.0,Rabbit
0.0,ambush,16.0,80.0,94.0,42.0,0.0,Rabbit
0.0,ambush,75.0,72.0,31.0,20.0,1.0,Rabbit
0.0,ambush,87.0,99.0,15.0,21.0,1.0,Rabbit
0.0,ambush,15.0,70.0,79.0,27.0,0.0,Rabbit
0.0,ambush,29.0,35.0,10.0,67.0,0.0,Rabbit
0.0,ambush,5.0,38.0,32.0,72.0,0.0,Rabbit
0.0,ambush,76.0,96.0,34.0,86.0,1.0,Rabbit
0.0,ambush,28.0,51.0,80.0,17.0,0.0,Rabbit
0.0,ambush,32.0,21.0,44.0,65.0,0.0,Rabbit
0.0,ambush,29.0,11.0,44.0,38.0,0.0,Rabbit
0.0,ambush,11.0,34.0,92.0,44.0,1.0,Rabbit
0.0,ambush,86.0,99.0,72.0,89.0,0.0,Rabbit
0.0,ambush,82.0,88.0,29.0,39.0,0.0,Rabbit
0.0,ambush,35.0,39.0,27.0,17.0,0.0,Rabbit
0.0,ambush,14.0,17.0,76.0,15.0,0.0,Rabbit
0.0,ambush,60.0,35.0,15.0,38.0,1.0,Rabbit
0.0,ambush,19.0,74.0,39.0,3.0,0.0,Rabbit
0.0,ambush,24.0,3.0,24.0,63.0,1.0,Rabbit
0.0,ambush,100.0,49.0,87.0,61.0,1.0,Rabbit
0.0,ambush,26.0,93.0,98.0,8.0,0.0,Rabbit
0.0,ambush,55.0,43.0,79.0,46.0,0.0,Rabbit
0.0,ambush,65.0,16.0,100.0,87.0,0.0,Rabbit
0.0,ambush,52.0,55.0,44.0,12.0,0.0,Rabbit
0.0,ambush,85.0,12.0,72.0,83.0,0.0,Rabbit
0.0,ambush,78.0,29.0,29.0,82.0,0.0,Rabbit
0.0,ambush,100.0,12.0,71.0,54.0,0.0,Rabbit
0.0,ambush,70.0,34.0,26.0,56.0,0.0,Rabbit
0.0,ambush,53.0,94.0,24.0,6.0,1.0,Rabbit
0.0,ambush,73.0,61.0,71.0,62.0,0.0,Rabbit
0.0,ambush,16.0,79.0,40.0,22.0,1.0,Rabbit
0.0,ambush,28.0,87.0,39.0,77.0,0.0,Rabbit
0.0,ambush,32.0,77.0,7.0,54.0,0.0,Rabbit
0.0,ambush,53.0,39.0,24.0,23.0,0.0,Rabbit
0.0,ambush,89.0,13.0,31.0,94.0,1.0,Rabbit
0.0,ambush,62.0,69.0,45.0,85.0,1.0,Rabbit
0.0,ambush,54.0,59.0,60.0,23.0,0.0,Rabbit
0.0,ambush,69.0,32.0,94.0,52.0,1.0,Rabbit
0.0,ambush,7.0,72.0,11.0,26.0,1.0,Rabbit
0.0,ambush,60.0,36.0,98.0,6.0,1.0,Rabbit
0.0,ambush,51.0,4.0,29.0,9.0,0.0,Rabbit
0.0,ambush,11.0,18.0,80.0,12.0,0.0,Rabbit
0.0,ambush,34.0,45.0,54.0,70.0,0.0,Rabbit
0.0,ambush,91.0,40.0,98.0,7.0,0.0,Rabbit
0.0,ambush,64.0,3.0,86.0,68.0,0.0,Rabbit
0.0,ambush,20.0,53.0,77.0,31.0,0.0,Rabbit
0.0,ambush,8.0,8.0,49.0,99.0,0.0,Rabbit
0.0,ambush,16.0,5.0,67.0,6.0,0.0,Rabbit
0.0,ambush,18.0,39.0,10.0,83.0,1.0,Rabbit
0.0,ambush,97.0,47.0,41.0,62.0,0.0,Rabbit
0.0,ambush,51.0,88.0,86.0,45.0,0.0,Rabbit
0.0,ambush,25.0,70.0,44.0,48.0,0.0,Rabbit
0.0,ambush,13.0,66.0,76.0,83.0,0.0,Rabbit
0.0,ambush,15.0,16.0,75.0,87.0,0.0,Rabbit
0.0,ambush,48.0,47.0,99.0,49.0,0.0,Rabbit
0.0,ambush,5.0,100.0,5.0,76.0,0.0,Rabbit
0.0,ambush,36.0,97.0,99.0,22.0,0.0,Rabbit
0.0,ambush,78.0,89.0,7.0,57.0,0.0,Rabbit
0.0,ambush,64.0,73.0,68.0,18.0,0.0,Rabbit
0.0,ambush,78.0,66.0,92.0,61.0,1.0,Rabbit
0.0,ambush,13.0,50.0,45.0,54.0,0.0,Rabbit
0.0,ambush,11.0,38.0,56.0,39.0,1.0,Rabbit
0.0,ambush,90.0,63.0,95.0,33.0,1.0,Rabbit
0.0,ambush,20.0,7.0,84.0,92.0,1.0,Rabbit
0.0,ambush,28.0,14.0,87.0,14.0,0.0,Rabbit
0.0,ambush,97.0,99.0,34.0,57.0,1.0,Rabbit
0.0,ambush,99.0,28.0,4.0,14.0,0.0,Rabbit
0.0,ambush,5.0,45.0,33.0,48.0,1.0,Rabbit
0.0,ambush,58.0,88.0,41.0,43.0,1.0,Rabbit
0.0,ambush,95.0,43.0,59.0,6.0,0.0,Rabbit
0.0,ambush,21.0,15.0,73.0,76.0,0.0,Rabbit
0.0,ambush,24.0,37.0,30.0,50.0,0.0,Rabbit
0.0,ambush,74.0,88.0,38.0,35.0,1.0,Rabbit
0.0,ambush,57.0,29.0,12.0,57.0,0.0,Rabbit
0.0,ambush,39.0,16.0,97.0,23.0,0.0,Rabbit
0.0,ambush,44.0,59.0,54.0,91.0,0.0,Rabbit
0.0,ambush,57.0,97.0,65.0,21.0,1.0,Rabbit
0.0,ambush,53.0,27.0,87.0,7.0,0.0,Rabbit
0.0,ambush,68.0,83.0,19.0,89.0,1.0,Rabbit
0.0,ambush,14.0,99.0,77.0,79.0,1.0,Rabbit
0.0,ambush,23.0,38.0,38.0,33.0,0.0,Rabbit
0.0,ambush,76.0,97.0,38.0,3.0,0.0,Rabbit
0.0,ambush,31.0,30.0,2.0,34.0,0.0,Rabbit
0.0,ambush,35.0,38.0,76.0,12.0,0.0,Rabbit
0.0,ambush,60.0,76.0,62.0,51.0,0.0,Rabbit
0.0,ambush,65.0,35.0,93.0,44.0,0.0,Rabbit
0.0,ambush,74.0,53.0,55.0,19.0,1.0,Rabbit
0.0,ambush,60.0,12.0,80.0,49.0,0.0,Rabbit
0.0,ambush,97.0,46.0,53.0,87.0,0.0,Rabbit
0.0,ambush,86.0,82.0,5.0,47.0,1.0,Rabbit
0.0,ambush,58.0,34.0,72.0,67.0,0.0,Rabbit
0.0,ambush,61.0,51.0,70.0,58.0,0.0,Rabbit
0.0,ambush,11.0,82.0,21.0,26.0,0.0,Rabbit
0.0,ambush,55.0,49.0,46.0,100.0,0.0,Rabbit
0.0,ambush,2.0,31.0,97.0,61.0,0.0,Rabbit
0.0,ambush,81.0,37.0,96.0,89.0,0.0,Rabbit
0.0,ambush,58.0,7.0,92.0,88.0,0.0,Rabbit
0.0,ambush,43.0,4.0,18.0,88.0,0.0,Rabbit
0.0,ambush,32.0,56.0,52.0,12.0,0.0,Rabbit
0.0,ambush,96.0,47.0,7.0,9.0,0.0,Rabbit
0.0,ambush,14.0,27.0,85.0,51.0,0.0,Rabbit
0.0,ambush,95.0,26.0,58.0,98.0,1.0,Rabbit
0.0,ambush,78.0,13.0,5.0,88.0,1.0,Rabbit
0.0,ambush,10.0,61.0,100.0,24.0,0.0,Rabbit
0.0,ambush,58.0,10.0,34.0,44.0,0.0,Rabbit
0.0,ambush,45.0,55.0,95.0,58.0,0.0,Rabbit
0.0,ambush,30.0,59.0,36.0,71.0,0.0,Rabbit
0.0,ambush,7.0,30.0,84.0,57.0,0.0,Rabbit
0.0,ambush,65.0,59.0,3.0,59.0,1.0,Rabbit
0.0,ambush,82.0,96.0,29.0,33.0,0.0,Rabbit
0.0,ambush,40.0,56.0,63.0,34.0,0.0,Rabbit
0.0,ambush,27.0,33.0,69.0,19.0,0.0,Rabbit
0.0,ambush,98.0,63.0,41.0,90.0,1.0,Rabbit
0.0,ambush,39.0,69.0,24.0,5.0,0.0,Rabbit
0.0,ambush,86.0,93.0,89.0,4.0,0.0,Rabbit
0.0,ambush,22.0,91.0,12.0,43.0,1.0,Rabbit
0.0,ambush,32.0,40.0,64.0,100.0,0.0,Rabbit
0.0,ambush,46.0,64.0,51.0,37.0,0.0,Rabbit
0.0,ambush,93.0,54.0,43.0,62.0,0.0,Rabbit
0.0,ambush,18.0,34.0,47.0,48.0,0.0,Rabbit
0.0,ambush,63.0,71.0,96.0,98.0,1.0,Rabbit
0.0,ambush,99.0,14.0,54.0,51.0,0.0,Rabbit
0.0,ambush,63.0,26.0,70.0,19.0,0.0,Rabbit
0.0,ambush,91.0,91.0,49.0,59.0,0.0,Rabbit
0.0,ambush,14.0,64.0,27.0,99.0,0.0,Rabbit
