Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,62.0,70.0,66.0,2.0,0.0,Bird
0.0,pursuit,93.0,98.0,36.0,37.0,0.0,Bird
0.0,pursuit,74.0,78.0,34.0,38.0,0.0,Bird
0.0,pursuit,26.0,85.0,47.0,3.0,0.0,Bird
0.0,pursuit,46.0,91.0,34.0,34.0,0.0,Bird
0.0,pursuit,39.0,52.0,59.0,36.0,0.0,Bird
0.0,pursuit,28.0,68.0,32.0,46.0,0.0,Bird
0.0,pursuit,10.0,51.0,72.0,25.0,0.0,Bird
0.0,pursuit,98.0,20.0,89.0,35.0,0.0,Bird
0.0,pursuit,70.0,89.0,71.0,28.0,1.0,Bird
0.0,pursuit,25.0,64.0,11.0,96.0,1.0,Bird
0.0,pursuit,51.0,69.0,3.0,28.0,0.0,Bird
0.0,pursuit,88.0,68.0,79.0,97.0,0.0,Bird
0.0,pursuit,78.0,33.0,16.0,91.0,0.0,Bird
0.0,pursuit,11.0,29.0,48.0,60.0,0.0,Bird
0.0,pursuit,2.0,95.0,36.0,40.0,0.0,Bird
0.0,pursuit,73.0,17.0,57.0,53.0,0.0,Bird
0.0,pursuit,46.0,3.0,100.0,69.0,0.0,Bird
0.0,pursuit,26.0,48.0,42.0,42.0,0.0,Bird
0.0,pursuit,92.0,20.0,32.0,71.0,0.0,Bird
0.0,pursuit,16.0,69.0,2.0,63.0,0.0,Bird
0.0,pursuit,45.0,72.0,48.0,55.0,0.0,Bird
0.0,pursuit,55.0,97.0,94.0,30.0,0.0,Bird
0.0,pursuit,68.0,77.0,64.0,7.0,0.0,Bird
0.0,pursuit,11.0,78.0,47.0,35.0,0.0,Bird
0.0,pursuit,41.0,40.0,72.0,91.0,0.0,Bird
0.0,pursuit,79.0,96.0,63.0,37.0,0.0,Bird
0.0,pursuit,98.0,15.0,91.0,57.0,0.0,Bird
0.0,pursuit,53.0,99.0,37.0,33.0,0.0,Bird
0.0,pursuit,56.0,42.0,35.0,5.0,0.0,Bird
