Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,25.0,60.0,52.0,76.0,0.0,Mouse
0.0,pursuit,74.0,95.0,3.0,93.0,0.0,Mouse
0.0,pursuit,53.0,42.0,47.0,88.0,0.0,Mouse
0.0,pursuit,15.0,59.0,82.0,88.0,0.0,Mouse
0.0,pursuit,35.0,44.0,72.0,40.0,0.0,Mouse
0.0,pursuit,23.0,96.0,46.0,40.0,1.0,Mouse
0.0,pursuit,71.0,89.0,54.0,28.0,0.0,Mouse
0.0,pursuit,66.0,63.0,19.0,3.0,0.0,Mouse
0.0,pursuit,46.0,63.0,94.0,4.0,0.0,Mouse
0.0,pursuit,28.0,32.0,15.0,21.0,0.0,Mouse
0.0,pursuit,69.0,47.0,43.0,44.0,0.0,Mouse
0.0,pursuit,61.0,75.0,63.0,21.0,0.0,Mouse
0.0,pursuit,73.0,50.0,6.0,4.0,0.0,Mouse
0.0,pursuit,21.0,46.0,71.0,5.0,0.0,Mouse
0.0,pursuit,16.0,71.0,58.0,85.0,1.0,Mouse
0.0,pursuit,82.0,39.0,4.0,18.0,0.0,Mouse
0.0,pursuit,14.0,56.0,72.0,57.0,0.0,Mouse
0.0,pursuit,9.0,79.0,47.0,84.0,0.0,Mouse
0.0,pursuit,60.0,51.0,83.0,62.0,0.0,Mouse
0.0,pursuit,55.0,95.0,89.0,68.0,0.0,Mouse
0.0,pursuit,39.0,36.0,91.0,2.0,0.0,Mouse
0.0,pursuit,23.0,38.0,75.0,67.0,0.0,Mouse
0.0,pursuit,72.0,23.0,68.0,68.0,0.0,Mouse
0.0,pursuit,57.0,93.0,64.0,80.0,0.0,Mouse
0.0,pursuit,6.0,77.0,20.0,10.0,0.0,Mouse
0.0,pursuit,46.0,99.0,41.0,10.0,0.0,Mouse
0.0,pursuit,89.0,56.0,93.0,60.0,0.0,Mouse
0.0,pursuit,78.0,21.0,73.0,79.0,0.0,Mouse
0.0,pursuit,39.0,52.0,77.0,2.0,0.0,Mouse
