Generation,Hunting Strategy,Speed,Stealth,Stamina,Sense,Hunting Outcome,Prey Type
0.0,pursuit,75.0,69.0,74.0,6.0,0.0,Rabbit
0.0,pursuit,12.0,39.0,40.0,8.0,0.0,Rabbit
0.0,pursuit,21.0,95.0,11.0,33.0,0.0,Rabbit
0.0,pursuit,74.0,83.0,85.0,73.0,1.0,Rabbit
0.0,pursuit,78.0,4.0,77.0,15.0,0.0,Rabbit
0.0,pursuit,94.0,25.0,13.0,26.0,0.0,Rabbit
0.0,pursuit,37.0,38.0,19.0,9.0,0.0,Rabbit
0.0,pursuit,12.0,51.0,37.0,70.0,0.0,Rabbit
0.0,pursuit,18.0,78.0,14.0,1.0,0.0,Rabbit
0.0,pursuit,76.0,72.0,89.0,48.0,0.0,Rabbit
0.0,pursuit,78.0,46.0,20.0,60.0,0.0,Rabbit
0.0,pursuit,3.0,12.0,44.0,41.0,0.0,Rabbit
0.0,pursuit,90.0,48.0,6.0,18.0,0.0,Rabbit
0.0,pursuit,20.0,94.0,9.0,37.0,0.0,Rabbit
0.0,pursuit,50.0,23.0,91.0,31.0,0.0,Rabbit
0.0,pursuit,59.0,16.0,3.0,13.0,0.0,Rabbit
0.0,pursuit,34.0,55.0,83.0,55.0,0.0,Rabbit
0.0,pursuit,71.0,45.0,73.0,64.0,1.0,Rabbit
0.0,pursuit,6.0,96.0,80.0,39.0,0.0,Rabbit
0.0,pursuit,9.0,33.0,86.0,73.0,0.0,Rabbit
0.0,pursuit,85.0,20.0,38.0,70.0,0.0,Rabbit
0.0,pursuit,71.0,9.0,31.0,58.0,1.0,Rabbit
0.0,pursuit,14.0,59.0,17.0,78.0,0.0,Rabbit
0.0,pursuit,76.0,28.0,59.0,23.0,0.0,Rabbit
0.0,pursuit,81.0,11.0,31.0,9.0,0.0,Rabbit
0.0,pursuit,44.0,8.0,92.0,7.0,0.0,Rabbit
0.0,pursuit,7.0,81.0,31.0,92.0,0.0,Rabbit
0.0,pursuit,86.0,33.0,24.0,63.0,0.0,Rabbit
0.0,pursuit,46.0,60.0,22.0,55.0,0.0,Rabbit
0.0,pursuit,86.0,39.0,47.0,37.0,0.0,Rabbit
0.0,pursuit,22.0,56.0,89.0,40.0,1.0,Rabbit
0.0,pursuit,86.0,40.0,74.0,56.0,0.0,Rabbit
0.0,pursuit,46.0,93.0,59.0,17.0,0.0,Rabbit
0.0,pursuit,21.0,89.0,68.0,2.0,0.0,Rabbit
0.0,pursuit,34.0,74.0,69.0,43.0,0.0,Rabbit
0.0,pursuit,70.0,97.0,88.0,62.0,1.0,Rabbit
0.0,pursuit,81.0,71.0,35.0,85.0,0.0,Rabbit
0.0,pursuit,14.0,18.0,95.0,44.0,0.0,Rabbit
0.0,pursuit,96.0,64.0,69.0,74.0,1.0,Rabbit
0.0,pursuit,88.0,65.0,17.0,70.0,0.0,Rabbit
0.0,pursuit,65.0,10.0,29.0,11.0,0.0,Rabbit
0.0,pursuit,47.0,72.0,59.0,14.0,0.0,Rabbit
0.0,pursuit,100.0,76.0,17.0,6.0,0.0,Rabbit
0.0,pursuit,49.0,67.0,46.0,80.0,0.0,Rabbit
0.0,pursuit,6.0,72.0,7.0,65.0,0.0,Rabbit
0.0,pursuit,72.0,42.0,16.0,15.0,0.0,Rabbit
0.0,pursuit,65.0,91.0,76.0,100.0,0.0,Rabbit
0.0,pursuit,26.0,7.0,35.0,85.0,0.0,Rabbit
0.0,pursuit,1.0,26.0,87.0,44.0,0.0,Rabbit
0.0,pursuit,21.0,53.0,37.0,24.0,0.0,Rabbit
0.0,pursuit,71.0,47.0,76.0,6.0,0.0,Rabbit
0.0,pursuit,4.0,68.0,89.0,83.0,0.0,Rabbit
0.0,pursuit,57.0,11.0,65.0,37.0,0.0,Rabbit
0.0,pursuit,94.0,21.0,11.0,49.0,0.0,Rabbit
0.0,pursuit,98.0,40.0,4.0,77.0,1.0,Rabbit
0.0,pursuit,31.0,83.0,32.0,40.0,0.0,Rabbit
0.0,pursuit,53.0,17.0,98.0,51.0,0.0,Rabbit
0.0,pursuit,12.0,51.0,14.0,79.0,0.0,Rabbit
0.0,pursuit,66.0,40.0,80.0,72.0,0.0,Rabbit
0.0,pursuit,18.0,62.0,30.0,30.0,0.0,Rabbit
0.0,pursuit,30.0,49.0,2.0,26.0,0.0,Rabbit
0.0,pursuit,4.0,62.0,2.0,72.0,0.0,Rabbit
0.0,pursuit,85.0,54.0,24.0,31.0,0.0,Rabbit
0.0,pursuit,94.0,53.0,49.0,8.0,0.0,Rabbit
0.0,pursuit,93.0,44.0,85.0,85.0,0.0,Rabbit
0.0,pursuit,53.0,78.0,36.0,12.0,0.0,Rabbit
0.0,pursuit,66.0,49.0,92.0,30.0,0.0,Rabbit
0.0,pursuit,33.0,79.0,77.0,30.0,1.0,Rabbit
0.0,pursuit,17.0,16.0,41.0,2.0,0.0,Rabbit
0.0,pursuit,57.0,93.0,83.0,6.0,0.0,Rabbit
0.0,pursuit,58.0,4.0,42.0,76.0,0.0,Rabbit
0.0,pursuit,75.0,55.0,78.0,65.0,1.0,Rabbit
0.0,pursuit,77.0,51.0,78.0,76.0,0.0,Rabbit
0.0,pursuit,25.0,34.0,42.0,89.0,0.0,Rabbit
0.0,pursuit,86.0,43.0,43.0,90.0,0.0,Rabbit
0.0,pursuit,89.0,7.0,12.0,12.0,0.0,Rabbit
0.0,pursuit,65.0,85.0,61.0,10.0,0.0,Rabbit
0.0,pursuit,67.0,57.0,54.0,77.0,1.0,Rabbit
0.0,pursuit,96.0,60.0,79.0,92.0,0.0,Rabbit
0.0,pursuit,38.0,97.0,82.0,27.0,0.0,Rabbit
0.0,pursuit,74.0,69.0,87.0,92.0,0.0,Rabbit
0.0,pursuit,60.0,91.0,89.0,37.0,1.0,Rabbit
0.0,pursuit,4.0,16.0,28.0,6.0,0.0,Rabbit
0.0,pursuit,8.0,90.0,59.0,8.0,0.0,Rabbit
0.0,pursuit,23.0,61.0,98.0,27.0,0.0,Rabbit
0.0,pursuit,25.0,36.0,79.0,97.0,0.0,Rabbit
0.0,pursuit,25.0,53.0,90.0,11.0,0.0,Rabbit
0.0,pursuit,27.0,54.0,34.0,38.0,0.0,Rabbit
0.0,pursuit,25.0,28.0,73.0,58.0,0.0,Rabbit
0.0,pursuit,67.0,2.0,93.0,76.0,1.0,Rabbit
0.0,pursuit,95.0,71.0,44.0,84.0,0.0,Rabbit
0.0,pursuit,65.0,94.0,11.0,30.0,0.0,Rabbit
0.0,pursuit,8.0,57.0,51.0,26.0,0.0,Rabbit
0.0,pursuit,26.0,70.0,23.0,30.0,0.0,Rabbit
0.0,pursuit,9.0,61.0,34.0,7.0,0.0,Rabbit
0.0,pursuit,16.0,43.0,5.0,32.0,0.0,Rabbit
0.0,pursuit,78.0,12.0,21.0,54.0,0.0,Rabbit
0.0,pursuit,32.0,97.0,77.0,24.0,0.0,Rabbit
0.0,pursuit,32.0,97.0,76.0,73.0,0.0,Rabbit
0.0,pursuit,72.0,12.0,1.0,5.0,0.0,Rabbit
0.0,pursuit,95.0,45.0,61.0,90.0,1.0,Rabbit
0.0,pursuit,48.0,87.0,18.0,52.0,0.0,Rabbit
0.0,pursuit,84.0,16.0,22.0,94.0,0.0,Rabbit
0.0,pursuit,39.0,19.0,94.0,75.0,0.0,Rabbit
0.0,pursuit,27.0,66.0,29.0,10.0,0.0,Rabbit
0.0,pursuit,77.0,57.0,33.0,42.0,0.0,Rabbit
0.0,pursuit,97.0,56.0,71.0,64.0,1.0,Rabbit
0.0,pursuit,4.0,65.0,36.0,29.0,0.0,Rabbit
0.0,pursuit,11.0,70.0,16.0,34.0,0.0,Rabbit
0.0,pursuit,27.0,93.0,28.0,5.0,0.0,Rabbit
0.0,pursuit,2.0,34.0,44.0,50.0,0.0,Rabbit
0.0,pursuit,72.0,82.0,42.0,70.0,0.0,Rabbit
0.0,pursuit,37.0,63.0,52.0,16.0,0.0,Rabbit
0.0,pursuit,8.0,15.0,1.0,56.0,0.0,Rabbit
0.0,pursuit,36.0,11.0,17.0,63.0,0.0,Rabbit
0.0,pursuit,73.0,78.0,47.0,72.0,1.0,Rabbit
0.0,pursuit,9.0,58.0,64.0,43.0,0.0,Rabbit
0.0,pursuit,73.0,69.0,36.0,49.0,0.0,Rabbit
0.0,pursuit,52.0,18.0,69.0,30.0,0.0,Rabbit
0.0,pursuit,40.0,44.0,70.0,92.0,0.0,Rabbit
0.0,pursuit,65.0,52.0,24.0,89.0,0.0,Rabbit
0.0,pursuit,3.0,30.0,36.0,26.0,0.0,Rabbit
0.0,pursuit,98.0,2.0,38.0,60.0,0.0,Rabbit
0.0,pursuit,53.0,71.0,65.0,30.0,0.0,Rabbit
0.0,pursuit,96.0,81.0,92.0,46.0,0.0,Rabbit
0.0,pursuit,52.0,5.0,47.0,81.0,0.0,Rabbit
0.0,pursuit,97.0,59.0,25.0,45.0,0.0,Rabbit
0.0,pursuit,4.0,96.0,55.0,94.0,0.0,Rabbit
0.0,pursuit,95.0,13.0,19.0,13.0,0.0,Rabbit
0.0,pursuit,18.0,65.0,89.0,61.0,0.0,Rabbit
0.0,pursuit,56.0,12.0,89.0,77.0,0.0,Rabbit
0.0,pursuit,65.0,9.0,7.0,72.0,1.0,Rabbit
0.0,pursuit,31.0,74.0,8.0,77.0,0.0,Rabbit
0.0,pursuit,98.0,4.0,93.0,19.0,0.0,Rabbit
0.0,pursuit,7.0,39.0,27.0,30.0,1.0,Rabbit
0.0,pursuit,24.0,17.0,65.0,60.0,0.0,Rabbit
0.0,pursuit,24.0,65.0,4.0,41.0,0.0,Rabbit
0.0,pursuit,28.0,6.0,57.0,64.0,0.0,Rabbit
0.0,pursuit,89.0,41.0,60.0,36.0,0.0,Rabbit
0.0,pursuit,16.0,65.0,13.0,14.0,1.0,Rabbit
0.0,pursuit,80.0,48.0,2.0,15.0,0.0,Rabbit
0.0,pursuit,78.0,94.0,85.0,19.0,0.0,Rabbit
0.0,pursuit,14.0,56.0,86.0,92.0,0.0,Rabbit
0.0,pursuit,80.0,66.0,66.0,14.0,0.0,Rabbit
0.0,pursuit,88.0,23.0,78.0,14.0,0.0,Rabbit
0.0,pursuit,3.0,57.0,9.0,31.0,0.0,Rabbit
0.0,pursuit,35.0,93.0,56.0,91.0,0.0,Rabbit
0.0,pursuit,21.0,5.0,11.0,75.0,0.0,Rabbit
0.0,pursuit,63.0,21.0,15.0,7.0,0.0,Rabbit
0.0,pursuit,66.0,99.0,31.0,36.0,0.0,Rabbit
0.0,pursuit,40.0,19.0,8.0,90.0,0.0,Rabbit
0.0,pursuit,55.0,20.0,8.0,98.0,0.0,Rabbit
0.0,pursuit,7.0,44.0,46.0,64.0,0.0,Rabbit
0.0,pursuit,15.0,8.0,19.0,14.0,0.0,Rabbit
0.0,pursuit,45.0,4.0,6.0,7.0,0.0,Rabbit
0.0,pursuit,55.0,9.0,40.0,29.0,0.0,Rabbit
0.0,pursuit,30.0,49.0,83.0,57.0,0.0,Rabbit
0.0,pursuit,14.0,50.0,98.0,41.0,0.0,Rabbit
0.0,pursuit,65.0,52.0,57.0,46.0,0.0,Rabbit
0.0,pursuit,43.0,63.0,92.0,25.0,0.0,Rabbit
0.0,pursuit,97.0,48.0,11.0,9.0,0.0,Rabbit
0.0,pursuit,18.0,81.0,47.0,62.0,0.0,Rabbit
0.0,pursuit,86.0,13.0,13.0,52.0,1.0,Rabbit
0.0,pursuit,77.0,97.0,59.0,79.0,0.0,Rabbit
0.0,pursuit,41.0,51.0,78.0,29.0,0.0,Rabbit
0.0,pursuit,61.0,54.0,18.0,93.0,0.0,Rabbit
0.0,pursuit,84.0,68.0,93.0,53.0,1.0,Rabbit
